Id,column2_1,column2_2,columnN2_1,columnN2_2,dateTime,nneg,nneu,npos,partId,projectName,randomId,sort,timeLanding,timePostsort,timePresort,timeSort,urlUsercode,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19
eP6QgFjoXu,no response,no response,no response,no response,6/11/2023 @ 8:52:25,0,8,11,not required,Q-Sort Maritime Study,b1234aba-413,0|-1|0|1|2|2|0|1|0|0|1|-1|0|1|-1|-1|-2|0|-2,00:00:04,00:00:21,00:02:23,00:04:02,no data,0,-1,0,1,2,2,0,1,0,0,1,-1,0,1,-1,-1,-2,0,-2
3WvV58gXrF,(s10) Normalization in 2023 has already been painful  and the influx of new capacity in 2024 does not show the idling and scrapping trends of the past  hence massive capacity over-supply. Many investors are not conscious of the uniqueness of 2021 and 2022 from a cycle perspective and thus keep the capacity in the hope of a return/rebound.,(s12) This is a derivate of the political instability and global tensions. The insecurity has a direct impact on oil prices  and bunker remains the single largest cost item in liner shipping.,(s17) We are only at generation one of the CO2 neutral vessel designs  the evolution here is decisive for the life-span of the vessel investments  and when to order the next  and it becomes decisive for the scrapping of the traditional vessels.,(s19) With the current market outlook  we expect the overcapacity to create a window of yard capacity of e.g. retrofits.,6/11/2023 @ 9:06:36,2,8,9,not required,Q-Sort Maritime Study,728aa3ee-d43,-1|0|-1|0|1|1|-1|1|1|2|0|2|-1|0|0|0|-2|0|-2,00:00:21,00:06:10,00:01:21,00:03:13,no data,-1,0,-1,0,1,1,-1,1,1,2,0,2,-1,0,0,0,-2,0,-2
hTaBi_OZDc,(s11) Harmonises the operations across multiple jurisdictions for ease of execution by seafarers,(s17) Will drive port / shore side infrastructure investments to faciliate energy transition,(s6) Periodic and short term  not a driver for long term investment decisions albeit preparedness is important to limit future shocks,(s13) Always important and and shipping is not the only human activity impacting the ocean  land based activity is also key ,6/11/2023 @ 16:19:48,4,7,8,not required,Q-Sort Maritime Study,3d0b63f3-7e4,0|0|-1|0|0|-2|1|-1|-1|0|2|0|-2|1|-1|0|2|1|1,00:00:07,00:03:45,00:11:44,00:01:27,no data,0,0,-1,0,0,-2,1,-1,-1,0,2,0,-2,1,-1,0,2,1,1
5prUuJJlvM,(s4) Digital transformation has by far the highest impact on every aspect of marine traffic and the logistics infrastructure. It is the precondition for any adaption of our industry to new challenges. Without digital transformation  we cannot achieve the urgently needed increase in efficiency of the logistics infrastructure.,(s14) The digital transformation will only be successful if the workforce is trained  escorted and supported through the major changes ahead. All changes need to be explained well with their benefits  impact and challenges.  If the people are left behind  then digitization will get stuck.,(s7) The Covid pandemic had serious impact on crew welfare. But it is over now.,(s19) We have enough shipyard capacity  let's just build less new ships and use the capacity to retrofit older ships to modern standards.,6/11/2023 @ 9:17:55,3,6,10,not required,Q-Sort Maritime Study,184dd20a-3a9,0|0|1|2|1|-1|-2|1|-1|0|0|0|0|2|-1|-1|0|1|-2,00:00:05,00:18:05,00:03:50,00:09:23,no data,0,0,1,2,1,-1,-2,1,-1,0,0,0,0,2,-1,-1,0,1,-2
apzPxug52a,(s7) This is an increasingly critical issue.,(s4) It has reached a 'tipping point'.,(s10) Nothing impactful can be changed as this is part of the cyclical nature (of over-building).,(s6) People do not respond to past events.,6/11/2023 @ 17:07:33,4,5,10,not required,Q-Sort Maritime Study,102d0553-616,0|0|1|2|1|-2|2|-1|0|-2|-1|-1|0|1|0|0|0|1|-1,00:01:16,00:02:12,00:04:55,00:08:12,no data,0,0,1,2,1,-2,2,-1,0,-2,-1,-1,0,1,0,0,0,1,-1
L1chlW_XAA,no response,no response,no response,no response,6/11/2023 @ 10:23:03,4,12,3,not required,Q-Sort Maritime Study,1a46e3e0-09c,1|2|0|0|0|1|0|0|0|2|-1|-1|0|-1|-2|-2|-1|1|1,00:00:11,00:00:26,00:02:10,00:02:20,no data,1,2,0,0,0,1,0,0,0,2,-1,-1,0,-1,-2,-2,-1,1,1
iOMRAj0eOk,(s17) A key decision to make  given the long life span of a ship  and the uncertainty of regulation and technological developments,(s10) Always was. And can lead to huge profits or losses,(s11) Of course it's important - but not new and overall all accidents have been declining. ,(s15) It's a price to pay. Exogenous and the same for everybody. ,6/11/2023 @ 10:46:51,5,8,6,not required,Q-Sort Maritime Study,c25d5092-f85,1|1|-1|1|-1|1|0|0|0|2|-2|0|-1|0|-2|-1|2|0|0,00:00:11,00:02:01,00:02:22,00:02:29,no data,1,1,-1,1,-1,1,0,0,0,2,-2,0,-1,0,-2,-1,2,0,0
t-FPI2XppC,(s4) Digital transformation can help with addressing many other long-standing issues and help make data-driven decisions.,(s9) There are various geopolitical tensions and wars currently taking place in various parts of the world  which are bound to impact shipping.,(s16) While research on this topic is important and should continue  I don't see it as an urgent need for the next year.,(s6) ,6/11/2023 @ 11:48:47,6,9,4,not required,Q-Sort Maritime Study,5437e935-702,0|0|1|2|0|-2|-1|0|2|1|1|0|-1|1|-1|-2|-1|0|0,00:00:03,00:03:29,00:01:58,00:02:36,no data,0,0,1,2,0,-2,-1,0,2,1,1,0,-1,1,-1,-2,-1,0,0
FpFcvL-qVD,no response,no response,no response,no response,6/11/2023 @ 10:49:56,0,4,15,not required,Q-Sort Maritime Study,f83c0bd8-e1e,1|1|-2|1|-1|0|0|-1|-1|-2|0|0|0|2|0|1|0|2|-1,00:00:33,00:00:04,00:03:48,00:03:57,no data,1,1,-2,1,-1,0,0,-1,-1,-2,0,0,0,2,0,1,0,2,-1
vM0W0J49L6,(s18) One of the key factors in addressing the environmental impact of the whole maritime and logistics ecosystem,(s2) There is both an emerging opportunity to build a new low-emissions offering and also a growing threat of regulatory backlashes if progress is not made.,(s3) These incidents are worrying but have already become part of the awareness of shippers and do not represent a rapidly escalating or existential threat.,(s13) This is a worrying area but is probably less significant than the decarbonisation issue  which itself is changing sea acidity and temperatures and damaging ecosystems,6/11/2023 @ 12:12:39,0,10,9,not required,Q-Sort Maritime Study,0abed395-d09,1|2|-2|0|-1|0|-1|1|1|-1|0|0|-2|0|0|0|1|2|-1,00:00:09,00:07:17,00:06:31,00:09:16,no data,1,2,-2,0,-1,0,-1,1,1,-1,0,0,-2,0,0,0,1,2,-1
